code,code_description,code_type,section,section_text,subsection,subsection_text,subheading,subheading_text,topic,topic_text,code_version
00352,Anesthesia for procedures on major vessels of neck; simple ligation,CPT,Anesthesia,,Neck,,,,,,CPT 2024 AMA
00400,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified",CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00402,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)",CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00404,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast",CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00406,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast with internal mammary node dissection",CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00410,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias",CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00450,Anesthesia for procedures on clavicle and scapula; not otherwise specified,CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00454,Anesthesia for procedures on clavicle and scapula; biopsy of clavicle,CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00470,Anesthesia for partial rib resection; not otherwise specified,CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00472,Anesthesia for partial rib resection; thoracoplasty (any type),CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00474,"Anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)",CPT,Anesthesia,,Thorax (Chest Wall and Shoulder Girdle),,,,,,CPT 2024 AMA
00500,Anesthesia for all procedures on esophagus,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00520,Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00522,Anesthesia for closed chest procedures; needle biopsy of pleura,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00524,Anesthesia for closed chest procedures; pneumocentesis,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00528,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing 1 lung ventilation,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00529,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing 1 lung ventilation,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00530,Anesthesia for permanent transvenous pacemaker insertion,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00532,Anesthesia for access to central venous circulation,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00534,Anesthesia for transvenous insertion or replacement of pacing cardioverter-defibrillator,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00537,Anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00539,Anesthesia for tracheobronchial reconstruction,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00540,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00541,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); utilizing 1 lung ventilation",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00542,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); decortication",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00546,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pulmonary resection with thoracoplasty",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00548,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); intrathoracic procedures on the trachea and bronchi",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00550,Anesthesia for sternal debridement,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00560,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; without pump oxygenator",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00561,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, younger than 1 year of age",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00562,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all noncoronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month after original operation",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00563,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator with hypothermic circulatory arrest",CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00566,Anesthesia for direct coronary artery bypass grafting; without pump oxygenator,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00567,Anesthesia for direct coronary artery bypass grafting; with pump oxygenator,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00580,Anesthesia for heart transplant or heart/lung transplant,CPT,Anesthesia,,Intrathoracic,,,,,,CPT 2024 AMA
00600,Anesthesia for procedures on cervical spine and cord; not otherwise specified,CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00604,Anesthesia for procedures on cervical spine and cord; procedures with patient in the sitting position,CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00620,"Anesthesia for procedures on thoracic spine and cord, not otherwise specified",CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00625,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation",CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00626,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation",CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00630,Anesthesia for procedures in lumbar region; not otherwise specified,CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00632,Anesthesia for procedures in lumbar region; lumbar sympathectomy,CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00635,Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture,CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00640,"Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine",CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00670,"Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)",CPT,Anesthesia,,Spine and Spinal Cord,,,,,,CPT 2024 AMA
00700,Anesthesia for procedures on upper anterior abdominal wall; not otherwise specified,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00702,Anesthesia for procedures on upper anterior abdominal wall; percutaneous liver biopsy,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00730,Anesthesia for procedures on upper posterior abdominal wall,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00731,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum; not otherwise specified",CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00732,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum; endoscopic retrograde cholangiopancreatography (ERCP)",CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00750,Anesthesia for hernia repairs in upper abdomen; not otherwise specified,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00752,Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00754,Anesthesia for hernia repairs in upper abdomen; omphalocele,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00756,Anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00770,Anesthesia for all procedures on major abdominal blood vessels,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00790,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise specified,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00792,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy),CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00794,"Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; pancreatectomy, partial or total (eg, Whipple procedure)",CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00796,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; liver transplant (recipient),CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00797,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity,CPT,Anesthesia,,Upper Abdomen,,,,,,CPT 2024 AMA
00800,Anesthesia for procedures on lower anterior abdominal wall; not otherwise specified,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00802,Anesthesia for procedures on lower anterior abdominal wall; panniculectomy,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00811,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum; not otherwise specified",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00812,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum; screening colonoscopy",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00813,"Anesthesia for combined upper and lower gastrointestinal endoscopic procedures, endoscope introduced both proximal to and distal to the duodenum",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00820,Anesthesia for procedures on lower posterior abdominal wall,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00830,Anesthesia for hernia repairs in lower abdomen; not otherwise specified,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00832,Anesthesia for hernia repairs in lower abdomen; ventral and incisional hernias,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00834,"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, younger than 1 year of age",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00836,"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00840,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; not otherwise specified,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00842,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; amniocentesis,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00844,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; abdominoperineal resection,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00846,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; radical hysterectomy,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00848,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; pelvic exenteration,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00851,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; tubal ligation/transection,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00860,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; not otherwise specified",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00862,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper one-third of ureter, or donor nephrectomy",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00864,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; total cystectomy",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00865,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; radical prostatectomy (suprapubic, retropubic)",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00866,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; adrenalectomy",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00868,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal transplant (recipient)",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00870,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; cystolithotomy",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00872,"Anesthesia for lithotripsy, extracorporeal shock wave; with water bath",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00873,"Anesthesia for lithotripsy, extracorporeal shock wave; without water bath",CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00880,Anesthesia for procedures on major lower abdominal vessels; not otherwise specified,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00882,Anesthesia for procedures on major lower abdominal vessels; inferior vena cava ligation,CPT,Anesthesia,,Lower Abdomen,,,,,,CPT 2024 AMA
00902,Anesthesia for anorectal procedure,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00904,Anesthesia for radical perineal procedure,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00906,Anesthesia for vulvectomy,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00908,Anesthesia for perineal prostatectomy,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00910,Anesthesia for transurethral procedures (including urethrocystoscopy); not otherwise specified,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00912,Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of bladder tumor(s),CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00914,Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of prostate,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00916,Anesthesia for transurethral procedures (including urethrocystoscopy); post-transurethral resection bleeding,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00918,"Anesthesia for transurethral procedures (including urethrocystoscopy); with fragmentation, manipulation and/or removal of ureteral calculus",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00920,Anesthesia for procedures on male genitalia (including open urethral procedures); not otherwise specified,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00921,"Anesthesia for procedures on male genitalia (including open urethral procedures); vasectomy, unilateral or bilateral",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00922,Anesthesia for procedures on male genitalia (including open urethral procedures); seminal vesicles,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00924,"Anesthesia for procedures on male genitalia (including open urethral procedures); undescended testis, unilateral or bilateral",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00926,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, inguinal",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00928,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, abdominal",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00930,"Anesthesia for procedures on male genitalia (including open urethral procedures); orchiopexy, unilateral or bilateral",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00932,Anesthesia for procedures on male genitalia (including open urethral procedures); complete amputation of penis,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00934,Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal lymphadenectomy,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00936,Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal and iliac lymphadenectomy,CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00938,Anesthesia for procedures on male genitalia (including open urethral procedures); insertion of penile prosthesis (perineal approach),CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00940,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); not otherwise specified",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00942,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); colpotomy, vaginectomy, colporrhaphy, and open urethral procedures",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00944,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); vaginal hysterectomy",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00948,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); cervical cerclage",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00950,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); culdoscopy",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
00952,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); hysteroscopy and/or hysterosalpingography",CPT,Anesthesia,,Perineum,,,,,,CPT 2024 AMA
01112,"Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest",CPT,Anesthesia,,Pelvis (Except Hip),,,,,,CPT 2024 AMA
01120,Anesthesia for procedures on bony pelvis,CPT,Anesthesia,,Pelvis (Except Hip),,,,,,CPT 2024 AMA
01130,Anesthesia for body cast application or revision,CPT,Anesthesia,,Pelvis (Except Hip),,,,,,CPT 2024 AMA
01140,Anesthesia for interpelviabdominal (hindquarter) amputation,CPT,Anesthesia,,Pelvis (Except Hip),,,,,,CPT 2024 AMA
01150,"Anesthesia for radical procedures for tumor of pelvis, except hindquarter amputation",CPT,Anesthesia,,Pelvis (Except Hip),,,,,,CPT 2024 AMA
01160,Anesthesia for closed procedures involving symphysis pubis or sacroiliac joint,CPT,Anesthesia,,Pelvis (Except Hip),,,,,,CPT 2024 AMA
01170,Anesthesia for open procedures involving symphysis pubis or sacroiliac joint,CPT,Anesthesia,,Pelvis (Except Hip),,,,,,CPT 2024 AMA
01173,Anesthesia for open repair of fracture disruption of pelvis or column fracture involving acetabulum,CPT,Anesthesia,,Pelvis (Except Hip),,,,,,CPT 2024 AMA
01200,Anesthesia for all closed procedures involving hip joint,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01202,Anesthesia for arthroscopic procedures of hip joint,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01210,Anesthesia for open procedures involving hip joint; not otherwise specified,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01212,Anesthesia for open procedures involving hip joint; hip disarticulation,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01214,Anesthesia for open procedures involving hip joint; total hip arthroplasty,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01215,Anesthesia for open procedures involving hip joint; revision of total hip arthroplasty,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01220,Anesthesia for all closed procedures involving upper two-thirds of femur,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01230,Anesthesia for open procedures involving upper two-thirds of femur; not otherwise specified,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01232,Anesthesia for open procedures involving upper two-thirds of femur; amputation,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01234,Anesthesia for open procedures involving upper two-thirds of femur; radical resection,CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01250,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of upper leg",CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01260,"Anesthesia for all procedures involving veins of upper leg, including exploration",CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01270,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; not otherwise specified",CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01272,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery ligation",CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01274,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery embolectomy",CPT,Anesthesia,,Upper Leg (Except Knee),,,,,,CPT 2024 AMA
01320,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of knee and/or popliteal area",CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01340,Anesthesia for all closed procedures on lower one-third of femur,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01360,Anesthesia for all open procedures on lower one-third of femur,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01380,Anesthesia for all closed procedures on knee joint,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01382,Anesthesia for diagnostic arthroscopic procedures of knee joint,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01390,"Anesthesia for all closed procedures on upper ends of tibia, fibula, and/or patella",CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01392,"Anesthesia for all open procedures on upper ends of tibia, fibula, and/or patella",CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01400,Anesthesia for open or surgical arthroscopic procedures on knee joint; not otherwise specified,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01402,Anesthesia for open or surgical arthroscopic procedures on knee joint; total knee arthroplasty,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01404,Anesthesia for open or surgical arthroscopic procedures on knee joint; disarticulation at knee,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01420,"Anesthesia for all cast applications, removal, or repair involving knee joint",CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01430,Anesthesia for procedures on veins of knee and popliteal area; not otherwise specified,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01432,Anesthesia for procedures on veins of knee and popliteal area; arteriovenous fistula,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01440,Anesthesia for procedures on arteries of knee and popliteal area; not otherwise specified,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01442,"Anesthesia for procedures on arteries of knee and popliteal area; popliteal thromboendarterectomy, with or without patch graft",CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01444,Anesthesia for procedures on arteries of knee and popliteal area; popliteal excision and graft or repair for occlusion or aneurysm,CPT,Anesthesia,,Knee and Popliteal Area,,,,,,CPT 2024 AMA
01462,"Anesthesia for all closed procedures on lower leg, ankle, and foot",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01464,Anesthesia for arthroscopic procedures of ankle and/or foot,CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01470,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; not otherwise specified",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01472,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; repair of ruptured Achilles tendon, with or without graft",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01474,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; gastrocnemius recession (eg, Strayer procedure)",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01480,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; not otherwise specified",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01482,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; radical resection (including below knee amputation)",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01484,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; osteotomy or osteoplasty of tibia and/or fibula",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01486,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; total ankle replacement",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01490,"Anesthesia for lower leg cast application, removal, or repair",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01500,"Anesthesia for procedures on arteries of lower leg, including bypass graft; not otherwise specified",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01502,"Anesthesia for procedures on arteries of lower leg, including bypass graft; embolectomy, direct or with catheter",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01520,Anesthesia for procedures on veins of lower leg; not otherwise specified,CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01522,"Anesthesia for procedures on veins of lower leg; venous thrombectomy, direct or with catheter",CPT,Anesthesia,,"Lower Leg (Below Knee, Includes Ankle and Foot)",,,,,,CPT 2024 AMA
01610,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of shoulder and axilla",CPT,Anesthesia,,Shoulder and Axilla,"Includes humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint.",,,,,CPT 2024 AMA
01620,"Anesthesia for all closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint",CPT,Anesthesia,,Shoulder and Axilla,"Includes humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint.",,,,,CPT 2024 AMA
01622,Anesthesia for diagnostic arthroscopic procedures of shoulder joint,CPT,Anesthesia,,Shoulder and Axilla,"Includes humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint.",,,,,CPT 2024 AMA
01630,"Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; not otherwise specified",CPT,Anesthesia,,Shoulder and Axilla,"Includes humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint.",,,,,CPT 2024 AMA
